功率密度_mW/cm2,光照电流_nA,压强_KPa,压力电流_nA,类别
9.390173082573009,590.1103873361665,7.519371301202087,30.3642097167232,磨砂玻璃杯
9.232631506697297,584.2240481592876,2.774364889835284,20.047823093845015,亚克力盒
15.39140232774781,636.8167342484697,3.7492293321114265,22.980976646751348,薄塑料袋
16.61577115062656,644.2504247438624,30.234573024075203,53.20466257093761,玻璃杯
8.93075036924501,582.0966589696113,30.868292018927555,52.76193041205417,硬塑料盒
17.149688124102134,648.7463879416379,2.584298430685745,18.94709439348528,薄塑料袋
14.733908028768223,630.3064267211334,3.887265408894801,23.120484112171624,薄塑料袋
11.394835407956448,603.0096021484932,9.99990294862831,34.580852313180976,透明塑料瓶
5.562287808897693,546.5123210137136,1.457830310307121,15.323025855620804,亚克力盒
5.537752736811914,547.0654308164441,14.753345275825534,39.94946735699996,磨砂玻璃杯
2.993349080096711,486.110885788754,35.91146981691757,56.69274026657208,金属小物件
9.629209926709459,589.9643562905005,24.655708742435326,48.7014795950745,硬塑料盒
14.478569999182948,629.8833561103501,3.6669299159691273,22.30819403081366,薄塑料袋
16.61135314654228,643.8645769012122,7.9341030130944015,31.16803434810995,透明塑料瓶
5.10048306052428,543.6701543193565,37.39100931666726,57.56161865830057,硬塑料盒
8.99449089920434,582.9091011862467,12.604407535934914,36.107278175383954,磨砂玻璃杯
12.122173423135202,604.7549525688679,15.389685659935203,40.76406304569391,透明塑料瓶
3.0839683973638623,493.6250866182989,10.526410839016231,35.1750781036528,木块
6.796351492287519,560.307438403223,1.4906636055741345,15.533663681836076,亚克力盒
17.54600056859659,651.2635805898974,26.50868229050996,49.65288360449679,玻璃杯
12.538640407541251,611.071517845495,30.00461594088751,52.88118654018206,硬塑料盒
10.33802258024281,594.6405255974506,17.62091376852542,42.621821836945436,磨砂玻璃杯
14.510884936432833,628.9509739759667,3.656075009432241,22.63260164088147,薄塑料袋
3.7342420706552626,516.6700165168155,37.27067557507208,56.25935568525194,金属小物件
9.032335918364419,586.4300235808055,28.5681507128169,52.64346976746196,硬塑料盒
10.682027242277824,597.5342991797174,14.210579702575195,40.06302507414884,磨砂玻璃杯
7.1253397173190205,564.523710357825,2.178038220980625,18.336714023614324,亚克力盒
12.728680807388074,615.1437370071559,35.257062162849174,56.20593563771947,玻璃杯
12.269619976032628,612.005023581321,13.340829918803474,39.40396023959477,透明塑料瓶
16.12096234074207,642.2916827170709,7.071983380609047,29.263777143886138,透明塑料瓶
7.565357721315511,567.9333683115638,24.411847682262962,47.868045329886485,硬塑料盒
9.562300898793374,590.263446762364,7.250876549533567,30.032524287709453,磨砂玻璃杯
9.673524296589274,591.0232323895502,17.97010860332796,42.6120198194118,磨砂玻璃杯
6.976438118833728,563.5121675415983,12.733393490663246,39.09745677182946,磨砂玻璃杯
3.43474077226897,508.1664867252897,15.56312637160855,40.680820149863656,木块
3.139894043050436,496.60541584066294,13.73873954297679,39.03378194522128,木块
2.8188009320947516,483.68634175863144,20.169848437362774,45.729308864582194,金属小物件
3.0033861965145947,490.0473879089818,12.735213259424883,38.981326509434744,木块
3.662887636810255,512.125667883814,8.242873806409104,31.99702461109726,木块
3.966454644076797,527.2581278990078,3.6482965930002775,22.92098633570382,橡皮擦
4.464351657190037,537.6784217752919,3.9808488639887236,23.393914233240803,亚克力盒
12.873235906566396,618.6146877050624,13.625784965957358,39.350005044556944,透明塑料瓶
15.474083659349075,641.17038260406,1.3538072595183774,15.176143116000382,薄塑料袋
3.938127689835788,520.97091433881,31.181950012142412,53.06437853092774,金属小物件
10.953074922424314,602.0038859853336,34.7414634693262,55.154039220766876,硬塑料盒
